City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Metro,ID,78.13,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
1,Rikitea,PF,78.87,scattered clouds,-23.1203,-134.9692,Pension Maro'i
4,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
5,Faanui,PF,82.08,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
8,Soe,ID,76.69,light rain,-9.8607,124.28399999999999,Dena Hotel
10,Vaini,TO,87.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
17,Cabo San Lucas,MX,73.4,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
18,Srikakulam,IN,69.12,scattered clouds,18.3,83.9,Sriram residency
19,Mar Del Plata,AR,62.6,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
22,Hermanus,ZA,66.99,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
24,Busselton,AU,81.0,clear sky,-33.65,115.3333,Observatory Guest House
25,Tiarei,PF,86.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
26,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
34,Cape Town,ZA,68.0,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
36,San Martin Jilotepeque,GT,64.4,few clouds,14.7878,-90.7925,Hotel Green Resort
37,Port Blair,IN,80.49,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
39,Carnarvon,AU,86.0,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
41,Bredasdorp,ZA,64.4,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
42,Sawakin,SD,71.94,scattered clouds,19.1059,37.3321,فندق الدويم
43,Labuhan,ID,80.89,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
45,Emerald,AU,87.8,broken clouds,-23.5333,148.1667,The Irish Village
46,New Norfolk,AU,64.99,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
47,Atuona,PF,78.67,broken clouds,-9.8,-139.0333,Villa Enata
48,East London,ZA,68.86,light rain,-33.0153,27.9116,Tu Casa
49,Puerto Ayora,EC,75.99,few clouds,-0.7393,-90.3518,Castillo Galapagos
51,Bluff,NZ,60.01,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
54,Corn Island,NI,80.44,overcast clouds,12.1694,-83.0418,Big Fish Guest House
57,Pacifica,US,64.0,haze,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
63,Port Alfred,ZA,64.99,overcast clouds,-33.5906,26.891,The Halyards Hotel
65,Eyl,SO,71.47,scattered clouds,7.9803,49.8164,Amiin Hotel
67,Castro,BR,65.52,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
71,Ponta Delgada,PT,61.0,few clouds,37.7333,-25.6667,Vila Nova Hotel
77,Tecoanapa,MX,77.94,clear sky,16.5167,-98.75,Hotel Manglares
79,Boa Viagem,BR,78.82,overcast clouds,-5.1275,-39.7322,Residencial macavi
80,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
83,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
84,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
85,Butaritari,KI,80.69,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
89,Pisco,PE,69.8,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
90,Santa Maria,BR,73.4,scattered clouds,-29.6842,-53.8069,Hotel Morotin
92,Kapaa,US,80.6,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
93,Gorontalo,ID,84.38,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
97,Biloela,AU,89.15,clear sky,-24.4167,150.5,Silo Motor Inn
98,Bengkulu,ID,77.88,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
99,Mataura,NZ,60.01,moderate rain,-46.1927,168.8643,Ellie's Villa
101,Pemba,MZ,78.8,broken clouds,-12.974,40.5178,Guesthouse Samotina
105,Plettenberg Bay,ZA,64.49,few clouds,-34.0527,23.3716,Thanda Vista B&B
106,Parlakimidi,IN,67.14,broken clouds,18.7667,84.0833,APEPDCL
107,Japura,ID,73.42,light rain,-0.3167,102.35,Rumah mbah Jamah
108,Holguin,CU,71.6,clear sky,20.8872,-76.2631,Casa Cables. Holguín
111,Guerrero Negro,MX,68.09,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
114,Kirakira,SB,85.23,light rain,-10.4544,161.9205,SanBiz Lodge
115,Arlit,NE,61.61,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
118,Hobart,AU,66.2,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
122,Bambous Virieux,MU,79.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
125,San Cristobal,VE,65.73,clear sky,7.7669,-72.225,Pirineos
128,Cidreira,BR,73.11,overcast clouds,-30.1811,-50.2056,Hotel Castelo
129,Kaputa,ZM,66.85,overcast clouds,-8.4689,29.6619,Chelelwa Charlets
130,Ribeira Grande,PT,62.67,light rain,38.5167,-28.7,Quinta da Meia Eira
131,Macherla,IN,65.91,clear sky,16.4833,79.4333,Vivek express
132,Los Llanos De Aridane,ES,62.6,overcast clouds,28.6585,-17.9182,Valle Aridane
133,Denpasar,ID,78.8,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
134,Kruisfontein,ZA,68.0,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
137,Praia Da Vitoria,PT,61.0,broken clouds,38.7333,-27.0667,Hotel Branco I
138,Luangwa,ZM,74.28,light rain,-15.6167,30.4167,Gerasimos Safari Lodge
141,Atar,MR,63.27,overcast clouds,20.5169,-13.0499,Oumou Elghoura
142,Saldanha,ZA,64.4,clear sky,-33.0117,17.9442,Blue Bay Lodge
144,Fayaoue,NC,83.19,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
145,Cayenne,GF,78.8,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
146,Avarua,CK,86.0,overcast clouds,-21.2078,-159.775,Paradise Inn
147,Howard Springs,AU,84.99,broken clouds,-12.497,131.047,buffalo beach hostel
149,Lanquin,GT,62.6,overcast clouds,15.5667,-89.9667,Yaxlik River Lodge
150,Natal,BR,80.6,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
152,Caucaia,BR,82.4,moderate rain,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
153,Chuy,UY,65.03,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
157,El Estor,GT,78.8,broken clouds,15.5333,-89.35,Chalet Castillo
159,Kavieng,PG,85.41,clear sky,-2.5744,150.7967,Nusa Island Retreat
160,Broken Hill,AU,69.8,clear sky,-31.95,141.4333,Royal Exchange Hotel
162,Kitui,KE,62.38,clear sky,-1.367,38.0106,Heritage Bliss Hotel
164,Mount Gambier,AU,60.8,overcast clouds,-37.8333,140.7667,Commodore on the Park
166,Ziway,ET,61.07,overcast clouds,7.9333,38.7167,Bethlehem Hotel
169,Pacific Grove,US,69.8,clear sky,36.6177,-121.9166,Lovers Point Inn
171,Dingle,PH,75.2,light rain,10.9995,122.6711,SEGAYA PROPERTY
172,Thinadhoo,MV,81.32,clear sky,0.5333,72.9333,
174,Mareeba,AU,78.8,moderate rain,-17.0,145.4333,Trinity Plains Tourist Park
175,Vila Velha,BR,77.0,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
176,Bac Lieu,VN,73.24,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
178,Kindu,CD,70.09,light rain,-2.95,25.95,Résidence Okanda
183,Sambava,MG,77.25,light rain,-14.2667,50.1667,Melrose
184,Biltine,TD,63.01,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
185,Port Elizabeth,ZA,66.2,broken clouds,-33.918,25.5701,39 On Nile Guest House
186,Ambulu,ID,81.32,light rain,-8.345,113.6058,Hotel Ambulu Jember
187,Makakilo City,US,80.6,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
189,Hithadhoo,MV,80.62,broken clouds,-0.6,73.0833,Scoop Guest House
192,Dubti,ET,70.56,overcast clouds,11.7361,41.0853,degu Shiferaw
194,Mahibadhoo,MV,81.07,clear sky,3.7833,72.9667,Omadhoo Inn
195,Geraldton,AU,89.6,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
196,Airai,TL,66.61,overcast clouds,-8.9266,125.4092,Juvinal Martin
202,Codrington,AU,61.59,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
